code_vente;date_vente;nom_de_la_piece;quantite;prix_unitaire_de_vente;prix_total_de_vente
;;COUPELLES D'EMBRAYAGE INFERIEUR SEIKEN ORG;1;0;0
;;SEGMENTS ORG HIACE 1RZ;1;110;110
;;COUSSINETS BIELLE 1RZ STD;1;20;20
;;KIT FREIN HIACE 4 VOIES;1;25;25
;;KIT FREIN HIACE 4 VOIES;1;25;25
;02/12/2022;KIT FREIN HIACE 4 VOIES;1;25;25
;;COUPELLES D'EMBAYAGE ORG SUPER;1;0;0
;;JOINT DE CULASSE 1RZ ORD;1;5;5
;;SUPPORT MOTEUR L/C;1;15;15
;;COUSSINETS BIELLE SUZUKI G15/G16 STD;1;25;25
;;RETIEN D'HUILE 1RZ;1;5;5
